id,user_id,screen_name,source,created_at,retweet_count,favorite_count,text,in_reply_to_screen_name,in_reply_to_status_id,retweeted_status_id,retweeted_status_user_id,retweeted_status_screen_name
627137418932682752,402719755,markamodeinv2,Twitter Web Client,2015-07-31 15:23:06,0,0,@goldbutte @RepHardy There's nothing diverse about this list. It's Clark County telling Nye and Lincoln what to do with their land.,goldbutte,627135665075982336,,,
627136352774172672,402719755,markamodeinv2,Twitter Web Client,2015-07-31 15:18:52,0,0,@goldbutte Proven process was ignored in case of #BasinAndRange. You're happy because your interests were served. Lincoln and Nye's were not,goldbutte,626897174220029952,,,
627136027073867777,402719755,markamodeinv2,Twitter Web Client,2015-07-31 15:17:35,0,0,"@goldbutte Groups visit to advocate on variety of issues, including those with whom you disagree. There is model for reconciling differences",goldbutte,626897174220029952,,,
627131649197776896,402719755,markamodeinv2,Twitter Web Client,2015-07-31 15:00:11,0,0,"@roadup 26K-acre Pine Forest multi-year process w/all local stakeholders, county, Congress. 704K #BasinAndRange one mtg w/people from Vegas?",roadup,626913368381599744,,,
627129682245324801,402719755,markamodeinv2,Twitter Web Client,2015-07-31 14:52:22,0,0,"@ProtectNevada list of support from Clark County, LA &amp; DC telling Nye &amp; Lincoln counties what's best does not a diverse constituency make",ProtectNevada,626919013474508800,,,
626760660404322304,402719755,markamodeinv2,Twitter Web Client,2015-07-30 14:26:00,1,1,"#BasinAndRange was preceded not by public, transparent, democratic process, but by convo btwn Sen. Reid and President http://t.co/feusnUhA3I",,,,,
626115682745339904,402719755,markamodeinv2,Instagram,2015-07-28 19:43:06,3,3,"Today I participated in a meeting of the Federal Land Action Group, a congressional team that will… https://t.co/6HxDFqCj3b",,,,,
626037267992309760,402719755,markamodeinv2,Twitter Web Client,2015-07-28 14:31:30,3,0,RT @LeeLons: .@MarkAmodeiNV2 questions witnesses in a meeting of the Federal Lands Action Group. @RepRobBishop @RepChrisStewart http://t.co…,,,626031082484428800,15749510,LeeLons
625761970122280960,402719755,markamodeinv2,Instagram,2015-07-27 20:17:34,2,3,Congratulations and good luck to Nevada’s athletes competing at the Special Olympics World Games this… https://t.co/sUNTN4upfr,,,,,
624306864759570433,402719755,markamodeinv2,Instagram,2015-07-23 19:55:30,0,1,"Not pictured: the rest of my vertical jump. This was just take off. #TBT to the 1976 basketball team,… https://t.co/gUBgZLWl8L",,,,,
